pathway_a	pathway_b	name_a	name_b	size_a	size_b	intersection	union	jaccard	weighted_jaccard	pval_hypergeom	padj_bh	relation	is_sibling	depth_a	depth_b	redundant_group_a	redundant_group_b
R-HSA-110328	R-HSA-110329	Recognition and association of DNA glycosylase with site containing an affected pyrimidine	Cleavage of the damaged pyrimidine 	41	41	41	41	1.0	1.0	1.0441e-125	7.2388e-123	sibling	True	4	4	R-HSA-110328	R-HSA-110328
R-HSA-110330	R-HSA-110331	Recognition and association of DNA glycosylase with site containing an affected purine	Cleavage of the damaged purine	36	36	36	36	1.0	1.0	2.2073e-112	1.2636e-109	sibling	True	4	4	R-HSA-110330	R-HSA-110330
R-HSA-113418	R-HSA-167158	Formation of the Early Elongation Complex	Formation of the HIV-1 Early Elongation Complex	33	33	33	33	1.0	1.0	3.0179e-104	1.4789e-101	distant	False	3	8	R-HSA-113418	R-HSA-113418
R-HSA-1296041	R-HSA-997272	Activation of G protein gated Potassium channels	Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	29	29	29	29	1.0	1.0	3.2471e-93	1.1832e-90	distant	False	4	6	R-HSA-1296059	R-HSA-1296059
R-HSA-1296059	R-HSA-997272	G protein gated Potassium channels	Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits	29	29	29	29	1.0	1.0	3.2471e-93	1.1832e-90	distant	False	3	6	R-HSA-1296059	R-HSA-1296059
R-HSA-167160	R-HSA-77075	RNA Pol II CTD phosphorylation and interaction with CE during HIV infection	RNA Pol II CTD phosphorylation and interaction with CE	27	27	27	27	1.0	1.0	1.3003e-87	3.857e-85	distant	False	7	2	R-HSA-77075	R-HSA-77075
R-HSA-167161	R-HSA-167162	HIV Transcription Initiation	RNA Polymerase II HIV Promoter Escape	48	48	48	48	1.0	1.0	6.2894e-144	5.6829e-141	sibling	True	7	7	R-HSA-73779	R-HSA-73779
R-HSA-167161	R-HSA-73776	HIV Transcription Initiation	RNA Polymerase II Promoter Escape	48	48	48	48	1.0	1.0	6.2894e-144	5.6829e-141	distant	False	7	3	R-HSA-73779	R-HSA-73779
R-HSA-167161	R-HSA-73779	HIV Transcription Initiation	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	48	48	48	48	1.0	1.0	6.2894e-144	5.6829e-141	distant	False	7	2	R-HSA-73779	R-HSA-73779
R-HSA-167161	R-HSA-75953	HIV Transcription Initiation	RNA Polymerase II Transcription Initiation	48	48	48	48	1.0	1.0	6.2894e-144	5.6829e-141	distant	False	7	3	R-HSA-73779	R-HSA-73779
R-HSA-167161	R-HSA-76042	HIV Transcription Initiation	RNA Polymerase II Transcription Initiation And Promoter Clearance	48	48	48	48	1.0	1.0	6.2894e-144	5.6829e-141	distant	False	7	2	R-HSA-73779	R-HSA-73779
R-HSA-167162	R-HSA-73776	RNA Polymerase II HIV Promoter Escape	RNA Polymerase II Promoter Escape	48	48	48	48	1.0	1.0	6.2894e-144	5.6829e-141	distant	False	7	3	R-HSA-73779	R-HSA-73779
R-HSA-167162	R-HSA-73779	RNA Polymerase II HIV Promoter Escape	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	48	48	48	48	1.0	1.0	6.2894e-144	5.6829e-141	distant	False	7	2	R-HSA-73779	R-HSA-73779
R-HSA-167162	R-HSA-75953	RNA Polymerase II HIV Promoter Escape	RNA Polymerase II Transcription Initiation	48	48	48	48	1.0	1.0	6.2894e-144	5.6829e-141	distant	False	7	3	R-HSA-73779	R-HSA-73779
R-HSA-167162	R-HSA-76042	RNA Polymerase II HIV Promoter Escape	RNA Polymerase II Transcription Initiation And Promoter Clearance	48	48	48	48	1.0	1.0	6.2894e-144	5.6829e-141	distant	False	7	2	R-HSA-73779	R-HSA-73779
R-HSA-167238	R-HSA-167243	Pausing and recovery of Tat-mediated HIV elongation	Tat-mediated HIV elongation arrest and recovery	32	32	32	32	1.0	1.0	1.6487e-101	7.555e-99	sibling	True	7	7	R-HSA-167238	R-HSA-167238
R-HSA-167287	R-HSA-167290	HIV elongation arrest and recovery	Pausing and recovery of HIV elongation	33	33	33	33	1.0	1.0	3.0179e-104	1.4789e-101	sibling	True	7	7	R-HSA-167287	R-HSA-167287
R-HSA-168142	R-HSA-168176	Toll Like Receptor 10 (TLR10) Cascade	Toll Like Receptor 5 (TLR5) Cascade	98	98	98	98	1.0	1.0	8.5218e-264	4.6463e-260	sibling	True	3	3	R-HSA-168142	R-HSA-168142
R-HSA-170822	R-HSA-5619107	Regulation of Glucokinase by Glucokinase Regulatory Protein	Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	32	32	32	32	1.0	1.0	1.6487e-101	7.555e-99	distant	False	4	3	R-HSA-5619107	R-HSA-5619107
R-HSA-1855170	R-HSA-1855196	IPs transport between nucleus and cytosol	IP3 and IP4 transport between cytosol and nucleus	30	30	30	30	1.0	1.0	5.4025e-96	2.1494e-93	sibling	True	2	2	R-HSA-1855170	R-HSA-1855170
R-HSA-1855170	R-HSA-1855229	IPs transport between nucleus and cytosol	IP6 and IP7 transport between cytosol and nucleus	30	30	30	30	1.0	1.0	5.4025e-96	2.1494e-93	sibling	True	2	2	R-HSA-1855170	R-HSA-1855170
R-HSA-1855196	R-HSA-1855229	IP3 and IP4 transport between cytosol and nucleus	IP6 and IP7 transport between cytosol and nucleus	30	30	30	30	1.0	1.0	5.4025e-96	2.1494e-93	sibling	True	2	2	R-HSA-1855170	R-HSA-1855170
R-HSA-2644602	R-HSA-2894858	Signaling by NOTCH1 PEST Domain Mutants in Cancer	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	58	58	58	58	1.0	1.0	3.3215e-169	4.2458e-166	sibling	True	3	3	R-HSA-2644602	R-HSA-2644602
R-HSA-2644602	R-HSA-2894862	Signaling by NOTCH1 PEST Domain Mutants in Cancer	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	58	58	58	58	1.0	1.0	3.3215e-169	4.2458e-166	distant	False	3	4	R-HSA-2644602	R-HSA-2644602
R-HSA-2644606	R-HSA-2894858	Constitutive Signaling by NOTCH1 PEST Domain Mutants	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	58	58	58	58	1.0	1.0	3.3215e-169	4.2458e-166	distant	False	4	3	R-HSA-2644602	R-HSA-2644602
R-HSA-2644606	R-HSA-2894862	Constitutive Signaling by NOTCH1 PEST Domain Mutants	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	58	58	58	58	1.0	1.0	3.3215e-169	4.2458e-166	same_depth	False	4	4	R-HSA-2644602	R-HSA-2644602
R-HSA-3371378	R-HSA-5218900	Regulation by c-FLIP	CASP8 activity is inhibited	11	11	11	11	1.0	1.0	6.0060e-40	3.5136e-38	same_depth	False	4	4	R-HSA-3371378	R-HSA-3371378
R-HSA-3371378	R-HSA-69416	Regulation by c-FLIP	Dimerization of procaspase-8	11	11	11	11	1.0	1.0	6.0060e-40	3.5136e-38	sibling	True	4	4	R-HSA-3371378	R-HSA-3371378
R-HSA-3656237	R-HSA-3656253	Defective EXT2 causes exostoses 2	Defective EXT1 causes exostoses 1, TRPS2 and CHDS	14	14	14	14	1.0	1.0	2.2313e-49	1.6944e-47	sibling	True	4	4	R-HSA-3656237	R-HSA-3656237
R-HSA-4839735	R-HSA-4839744	Signaling by AXIN mutants	Signaling by APC mutants	14	14	14	14	1.0	1.0	2.2313e-49	1.6944e-47	sibling	True	3	3	R-HSA-4839735	R-HSA-4839735
R-HSA-4839735	R-HSA-4839748	Signaling by AXIN mutants	Signaling by AMER1 mutants	14	14	14	14	1.0	1.0	2.2313e-49	1.6944e-47	sibling	True	3	3	R-HSA-4839735	R-HSA-4839735
R-HSA-4839735	R-HSA-5467337	Signaling by AXIN mutants	APC truncation mutants have impaired AXIN binding	14	14	14	14	1.0	1.0	2.2313e-49	1.6944e-47	distant	False	3	4	R-HSA-4839735	R-HSA-4839735
R-HSA-4839735	R-HSA-5467348	Signaling by AXIN mutants	Truncations of AMER1 destabilize the destruction complex	14	14	14	14	1.0	1.0	2.2313e-49	1.6944e-47	distant	False	3	4	R-HSA-4839735	R-HSA-4839735
R-HSA-4839743	R-HSA-5339716	Signaling by CTNNB1 phospho-site mutants	Signaling by GSK3beta mutants	15	15	15	15	1.0	1.0	1.8546e-52	1.5478e-50	sibling	True	3	3	R-HSA-4839743	R-HSA-4839743
R-HSA-4839744	R-HSA-4839748	Signaling by APC mutants	Signaling by AMER1 mutants	14	14	14	14	1.0	1.0	2.2313e-49	1.6944e-47	sibling	True	3	3	R-HSA-4839735	R-HSA-4839735
